opensecrets_cid	name	district	party	first_elected
N00044245	Jerry Carl	AL01	R	2020
N00045377	Jay Obernolte	CA08	R	2020
N00044298	Mike Garcia	CA25	R	2020
N00045974	Lauren Boebert	CO03	R	2020
N00045978	Kat Cammack	FL03	R	2020
N00046760	Scott Franklin	FL15	R	2020
N00034016	Byron Donalds	FL19	R	2020
N00046394	Carlos Gimenez	FL26	R	2020
N00044701	Marjorie Greene	GA14	R	2020
N00046654	Andrew Clyde	GA09	R	2020
N00045703	Mary Miller	IL15	R	2020
N00030743	Tracey Mann	KS01	R	2020
N00044232	Jake Laturner	KS02	R	2020
N00045730	Lisa McClain	MI10	R	2020
N00045251	Michelle Fischbach	MN07	R	2020
N00046252	Madison Cawthorn	NC11	R	2020
N00044040	Nicole Malliotakis	NY11	R	2020
N00044575	Chris Jacobs	NY27	R	2020
N00044579	Stephanie Bice	OK05	R	2020
N00045773	Cliff Bentz	OR02	R	2020
N00046688	Diana Harshbarger	TN01	R	2020
N00047264	Patrick Fallon	TX04	R	2020
N00045421	August Pfluger	TX11	R	2020
N00046055	Ronny Jackson	TX13	R	2020
N00046067	Troy Nehls	TX22	R	2020
N00045167	Beth Van Duyne	TX24	R	2020
N00045812	Burgess Owens	UT04	R	2020
N00045557	Bob Good	VA05	R	2020
N00045434	Scott Fitzgerald	WI05	R	2020
N00045307	Tom Tiffany	WI07	R	2020
N00035517	Matt Rosendale	MT01	R	2020
N00041295	Barry Moore	AL02	R	2020
N00041454	Yvette Herrell	NM02	R	2020
N00044434	Tommy Tuberville	ALS1	R	2020
N00044027	Greg Murphy	NC03	R	2019
N00044335	Dan Bishop	NC09	R	2019
N00044065	Fred Keller	PA12	R	2019
N00031390	Jim Hagedorn	MN01	R	2018
N00042056	Debbie Lesko	AZ08	R	2018
N00042808	Greg Steube	FL17	R	2018
N00041335	Russ Fulcher	ID01	R	2018
N00041954	Jim Baird	IN04	R	2018
N00041956	Greg Pence	IN06	R	2018
N00042458	Michael Guest	MS03	R	2018
N00042164	Jeff Van Drew	NJ02	R	2018
N00040829	Kevin Hern	OK01	R	2018
N00029416	Dan Meuser	PA09	R	2018
N00043242	John Joyce	PA13	R	2018
N00041871	Guy Reschenthaler	PA14	R	2018
N00042715	William Timmons	SC04	R	2018
N00041594	Tim Burchett	TN02	R	2018
N00041599	John Rose	TN06	R	2018
N00041873	Mark Green	TN07	R	2018
N00042237	Lance Gooden	TX05	R	2018
N00042240	Ron Wright	TX06	R	2018
N00041882	Michael Cloud	TX27	R	2018
N00042296	Ben Cline	VA06	R	2018
N00041542	Carol Miller	WV03	R	2018
N00043290	Rick Scott	FLS1	R	2018
N00041620	Josh Hawley	MOS2	R	2018
N00043298	Cindy Hyde-Smith	MSS1	R	2018
N00040712	Ron Estes	KS04	R	2017
N00027783	Ralph Norman	SC05	R	2017
N00025445	David Kustoff	TN08	R	2016
N00039293	Andy Biggs	AZ05	R	2016
N00039503	Matt Gaetz	FL01	R	2016
N00037442	Neal Dunn	FL02	R	2016
N00039777	John Rutherford	FL04	R	2016
N00037269	Brian Mast	FL18	R	2016
N00037185	Jim Banks	IN03	R	2016
N00039953	Clay Higgins	LA03	R	2016
N00039106	Mike Johnson	LA04	R	2016
N00039533	John Bergman	MI01	R	2016
N00039551	Ted Budd	NC13	R	2016
N00038767	Warren Davidson	OH08	R	2016
N00038781	Lloyd Smucker	PA11	R	2016
N00038285	Jodey Arrington	TX19	R	2016
N00037034	Roger Marshall	KSS1	R	2016
N00026823	John Kennedy	LAS2	R	2016
N00037003	Trent Kelly	MS01	R	2015
N00032243	Jody Hice	GA10	R	2014
N00033720	Richard W Allen	GA12	R	2014
N00033527	David Rouzer	NC07	R	2014
N00035691	Gary Palmer	AL06	R	2014
N00035346	Buddy Carter	GA01	R	2014
N00035347	Barry Loudermilk	GA11	R	2014
N00035420	Mike Bost	IL12	R	2014
N00036135	Garret Graves	LA06	R	2014
N00035523	Elise Stefanik	NY21	R	2014
N00033814	Alex Mooney	WV02	R	2014
N00005736	Brian Babin	TX36	R	2014
N00029404	Lee Zeldin	NY01	R	2014
N00035282	Jason Smith	MO08	R	2013
N00031226	Jackie Walorski	IN02	R	2012
N00033987	Doug LaMalfa	CA01	R	2012
N00033630	Richard Hudson	NC08	R	2012
N00033410	Markwayne Mullin	OK02	R	2012
N00034120	Scott Perry	PA10	R	2012
N00033832	Tom Rice	SC07	R	2012
N00033539	Randy Weber	TX14	R	2012
N00030602	Roger Williams	TX25	R	2012
N00033932	Chris Stewart	UT02	R	2012
N00033085	Ted Cruz	TXS2	R	2012
N00030910	Mo Brooks	AL05	R	2010
N00030770	Rick Crawford	AR01	R	2010
N00030771	Paul Gosar	AZ04	R	2010
N00026335	Daniel Webster	FL11	R	2010
N00031005	Vicky Hartzler	MO04	R	2010
N00030676	Billy Long	MO07	R	2010
N00031958	Steven Palazzo	MS04	R	2010
N00032088	Bill Johnson	OH06	R	2010
N00031128	Bob Gibbs	OH07	R	2010
N00031647	Mike Kelly	PA16	R	2010
N00030752	Jeff Duncan	SC03	R	2010
N00030815	Chuck Fleischmann	TN03	R	2010
N00030957	Scott Desjarlais	TN04	R	2010
N00032029	Morgan Griffith	VA09	R	2010
N00006460	David Schweikert	AZ06	R	2010
N00029147	Andy Harris	MD01	R	2010
N00009660	Steve Scalise	LA01	R	2008
N00029662	Bill Posey	FL08	R	2008
N00030026	Blaine Luetkemeyer	MO03	R	2008
N00029736	Glenn Thompson	PA15	R	2008
N00029788	Cynthia Lummis	WYS2	R	2008
N00029459	Rob Wittman	VA01	R	2007
N00026368	Tim Walberg	MI07	R	2006
N00028152	Kevin McCarthy	CA23	R	2006
N00028133	Douglas L Lamborn	CO05	R	2006
N00027623	Adrian Smith	NE03	R	2006
N00027894	Jim Jordan	OH04	R	2006
N00026166	Virginia Foxx	NC05	R	2004
N00026148	Louis Bt Jr.	TX01	R	2004
N00024759	Mike D Rogers	AL03	R	2002
N00025337	Mario Diaz-Balart	FL25	R	2002
N00025726	Tom Cole	OK04	R	2002
N00025219	Michael Burgess	TX26	R	2002
N00025095	John Carter	TX31	R	2002
N00007248	Devin Nunes	CA22	R	2002
N00024809	Joe Wilson	SC02	R	2001
N00007017	Darrell Issa	CA50	R	2000
N00013323	Sam Graves	MO06	R	2000
N00005681	Pete Sessions	TX17	R	1996
N00003028	Robert Bt	AL04	R	1996
N00005559	Frank Ds	OK03	R	1994
N00003689	Steve Chabot	OH01	R	1994
N00007099	Ken Calvert	CA42	R	1992
N00003473	Hal Rogers	KY05	R	1980
